variavel: Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Residencial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Bom Princípio;4302352;-29,4856;-51,3548;1.654;1.744;1.853;2.081;2.311;3.020;3.980;4.025;4.000;4.260;4.472;4.966;4.736;5.072;5.350;5.490;5.970;6.228;6.766;7.322;7.930;8.744;9.445;10.737;10.486;10.923;10.968;11.505
Bom Progresso;4302378;-27,5399;-53,8716;-;-;198;287;328;334;380;414;430;475;485;480;543;529;527;548;572;593;640;700;800;802;857;969;992;1.020;1.057;1.060
Bom Retiro do Sul;4302402;-29,6086;-51,9464;3.087;3.190;3.471;3.784;4.287;4.665;4.270;4.322;4.569;4.885;5.075;5.153;5.007;5.107;5.369;5.500;5.737;5.834;6.152;6.540;7.083;7.589;8.012;9.076;8.635;8.973;9.209;9.450
Boqueirão do Leão;4302451;-29,3046;-52,4284;-;-;6;...;...;7;3;2;9;16;30;33;36;42;51;59;87;118;109;101;103;98;114;126;131;120;143;123
Bossoroca;4302501;-28,7291;-54,9035;-;-;-;-;-;-;-;...;2;4;4;8;20;29;26;27;28;36;33;36;42;46;42;43;38;42;40;34
Bozano;4302584;-28,36746;-53,77224;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;0;0;0
Braga;4302600;-27,6173;-53,7405;564;562;582;631;662;682;748;778;785;828;833;843;857;873;850;857;874;901;985;1.126;1.091;1.173;1.265;1.366;1.370;1.423;1.480;1.530
Brochier;4302659;-29,5501;-51,5945;639;625;543;588;669;913;920;795;804;868;929;967;1.069;1.106;1.144;1.207;1.301;1.362;1.468;1.620;1.775;1.850;2.019;2.383;2.327;2.435;2.619;2.698
Butiá;4302709;-30,1179;-51,9601;8.352;8.529;6.892;6.969;7.677;8.091;8.794;8.985;9.011;9.154;9.075;9.066;9.001;9.161;9.531;9.751;10.287;10.524;10.882;11.278;11.963;12.400;13.093;14.412;13.770;14.301;14.650;14.842
Caçapava do Sul;4302808;-30,5144;-53,4827;8.139;8.381;8.756;9.204;10.078;10.611;11.821;11.901;12.254;12.637;12.540;12.035;12.313;12.715;13.030;13.432;14.264;14.768;15.503;16.420;17.232;18.534;19.480;21.402;20.572;21.310;21.495;22.550
Cacequi;4302907;-29,8883;-54,822;4.629;4.523;4.733;4.881;5.264;5.445;5.930;5.670;5.712;5.809;5.495;5.367;5.407;5.583;5.630;5.695;5.913;6.326;6.498;6.758;6.807;7.292;7.033;7.829;7.361;7.508;7.642;7.877
Cachoeira do Sul;4303004;-30,033;-52,8928;30.309;30.740;30.792;32.005;35.091;36.435;38.549;39.485;40.790;41.332;40.139;39.888;39.498;40.222;40.674;41.605;44.270;45.281;47.352;50.014;52.009;55.328;56.515;63.151;58.544;58.907;58.898;60.628
Cachoeirinha;4303103;-29,9472;-51,1016;39.859;40.686;41.735;43.181;48.021;53.635;58.404;61.745;64.500;66.284;63.950;63.668;62.247;63.281;65.804;68.250;72.991;74.112;79.379;85.664;90.318;96.359;103.909;116.984;112.832;116.328;119.480;124.476
Cacique Doble;4303202;-27,767;-51,6597;428;438;480;511;543;610;645;676;678;704;693;713;784;782;782;779;823;881;977;1.088;1.163;1.320;1.400;1.578;1.621;1.672;1.716;1.734
Caiçara;4303400;-27,2791;-53,4257;616;591;600;622;691;747;747;741;767;867;810;787;886;867;890;904;954;1.012;1.103;1.145;1.215;1.328;1.475;1.614;1.576;1.665;1.789;1.890
Camaquã;4303509;-30,8489;-51,8043;17.661;17.982;18.234;18.336;20.390;21.299;24.092;23.883;24.961;25.793;24.969;24.503;24.130;25.143;25.844;26.107;27.691;28.518;30.282;32.370;34.031;36.076;38.206;42.210;39.681;40.133;40.388;41.828
Camargo;4303558;-28,588;-52,2003;209;212;244;270;275;326;382;393;417;423;430;426;435;479;501;508;560;580;630;700;805;868;962;1.123;1.132;1.219;1.310;1.425
Cambará do Sul;4303608;-29,0474;-50,1465;1.748;1.912;2.012;1.942;2.178;2.291;2.437;2.603;2.801;2.805;2.759;2.863;2.893;2.938;2.948;2.941;3.001;3.044;3.207;3.349;3.333;3.424;3.636;3.911;4.094;4.368;4.520;4.728
Campestre da Serra;4303673;-28,7926;-51,0941;-;-;359;417;498;688;790;753;716;694;629;531;655;657;662;686;702;759;848;967;1.011;1.061;1.137;1.232;1.260;1.318;1.387;1.433
Campina das Missões;4303707;-27,9888;-54,8417;951;923;1.032;1.071;1.157;1.211;1.272;1.287;1.343;1.348;1.292;1.311;1.269;1.277;1.269;1.285;1.314;1.325;1.516;1.588;1.658;1.794;1.881;2.226;2.175;2.362;2.459;2.590
Campinas do Sul;4303806;-27,7174;-52,6248;1.389;1.387;1.445;1.508;1.744;1.879;2.014;2.109;2.191;2.337;2.051;2.099;2.152;2.194;2.228;2.253;2.323;2.296;2.484;2.608;2.642;2.849;3.047;3.365;3.289;3.419;3.653;3.728
Campo Bom;4303905;-29,6747;-51,0606;23.729;23.942;25.159;26.407;27.737;29.269;31.596;31.972;33.765;35.705;36.472;37.198;37.785;39.671;41.247;41.277;43.854;44.196;46.044;49.219;53.147;58.244;60.896;67.789;62.251;64.594;64.003;66.486
Campo Novo;4304002;-27,6792;-53,8052;1.809;1.768;1.690;1.687;1.819;1.813;1.814;1.845;1.836;1.876;1.782;1.739;1.803;1.820;1.870;1.776;1.853;1.883;1.997;2.228;2.277;2.420;2.642;2.977;2.959;3.029;3.122;3.189
Campos Borges;4304101;-28,8871;-53,0008;406;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Candelária;4304200;-29,6684;-52,7895;4.318;4.319;4.648;4.870;5.415;6.007;6.422;6.686;7.132;7.270;7.266;7.614;7.620;7.969;8.428;8.820;9.224;9.423;10.069;10.683;11.258;12.211;12.593;14.046;13.167;13.308;13.555;14.048
