variavel: Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades:;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Chuvisca;;;;;;;47;67;87;99;130;112;113;114;127;153;154;179;202;205;206;251;244;316;301;324;347;361
Cidreira;3186;3379;3312;4107;4855;5243;3230;3469;3795;3813;4118;4038;4610;4965;4291;4340;4522;4711;4854;5283;5791;5853;5132;6252;5805;5507;5933;5643
Ciríaco;186;178;205;215;240;242;269;285;296;327;370;410;425;410;417;440;462;512;649;669;658;676;704;753;740;747;755;719
Colinas;;;136;210;273;308;388;298;291;350;366;328;306;314;310;349;372;387;412;427;530;545;537;548;490;504;539;572
Constantina;1127;1091;1141;1218;1269;1274;1390;1456;1618;1558;1502;1512;1784;1661;1683;1753;2004;1914;2102;2193;2331;2658;2943;3275;3089;2958;2904;2659
Coqueiro Baixo;;;;;;;;;;;;15;64;68;82;111;124;121;118;123;133;137;126;123;122;128;120;131
Coronel Bicaco;594;613;654;679;701;759;783;810;819;885;879;851;867;882;937;860;785;1172;1381;1401;1451;1312;1275;1426;1764;1797;1926;1862
Coronel Pilar;;;;;;;;;;;143;142;96;110;96;91;87;94;99;113;101;113;324;117;122;114;134;147
Cotiporã;179;182;211;205;238;296;326;415;409;436;422;449;490;482;481;492;603;633;737;790;732;786;874;898;804;797;801;766
Coxilha;;;121;157;185;207;228;285;331;368;353;337;352;315;336;336;366;418;512;617;688;803;905;1078;1161;1210;1133;1167
Crissiumal;1172;1162;1279;1353;1428;1470;1524;1551;1522;1617;1607;1662;1687;1630;1634;1791;2088;2266;2299;2364;2502;2841;2772;3018;3043;3055;3102;3009
Cristal;449;468;456;445;523;546;618;660;817;809;968;1140;1106;1190;1330;1208;1242;1380;1456;1553;1659;1870;1781;2157;2103;2023;1958;2032
Cristal do Sul;;;;;;;;;;;;2;2;;;;3;3;2;3;3;3;2;3;2;2;2;3
Cruz Alta;10100;10034;10584;11025;12305;12828;13778;15147;16127;16801;16510;17044;18431;18193;18158;18118;19404;20414;20949;21797;22692;23665;23468;24911;23598;23803;24356;24045
Cruzaltense;;;;;;;;;;;76;80;98;108;114;114;111;124;134;162;148;162;180;194;198;244;268;252
Cruzeiro do Sul;722;726;789;775;927;1045;1140;1162;1278;1386;1502;1584;1605;1516;1681;1738;1786;1862;1886;1976;2146;2524;2922;3087;2936;2848;2777;2916
David Canabarro;116;126;153;151;177;192;217;241;258;269;273;275;288;295;307;369;428;451;472;483;516;562;561;555;525;532;529;540
Derrubadas;;;85;111;112;117;118;128;123;133;152;152;155;165;155;145;138;138;161;182;200;233;234;271;292;287;386;559
Dezesseis de Novembro;45;50;65;69;66;74;74;97;124;112;104;99;94;98;100;97;109;125;135;140;162;198;200;211;210;225;229;231
Dilermando de Aguiar;;;;;;;58;71;85;103;94;115;137;162;173;180;192;212;186;166;158;196;262;257;216;209;226;216
Dois Irmãos;2374;2607;2313;2415;2888;3281;4015;4247;5074;5107;5938;6408;7163;8669;8725;9186;9840;10031;10362;11474;12175;12408;12588;13911;13325;12974;13344;13251
Dois Irmãos das Missões;;;54;115;107;116;117;116;101;94;123;96;97;97;87;96;104;111;128;138;150;182;220;260;286;258;281;287
Dois Lajeados;171;204;252;314;436;375;379;413;415;531;624;652;694;695;772;772;837;895;920;941;964;954;981;1059;994;923;904;856
Dom Feliciano;320;370;393;399;430;434;470;475;539;592;650;655;693;789;862;828;853;923;1019;1080;1034;1187;1139;1353;1315;1343;1388;1415
Dom Pedrito;3820;3776;3869;4021;4180;4403;4757;4873;5049;5186;5515;5308;5250;5681;5964;6113;6295;6601;6945;7203;7877;8490;5631;9111;8912;9627;9198;9741
Dom Pedro de Alcântara;;;;;;;169;298;340;416;423;435;416;361;410;410;437;436;459;500;558;615;2327;305;305;292;283;286
Doutor Maurício Cardoso;397;406;424;459;465;474;504;519;594;665;663;642;990;974;882;983;1086;1011;1078;1137;1142;1246;1283;1641;1498;1599;1832;1658
Doutor Ricardo;;;;;;;146;171;190;211;252;332;300;280;325;337;341;373;389;418;456;482;421;491;537;525;541;555
Eldorado do Sul;4681;4071;4148;4203;4420;4906;5239;5564;6715;6858;6610;6674;6650;6912;7210;7346;7432;10580;12774;14025;15559;16948;15262;20265;20059;20263;21763;21698
Encantado;2740;2663;2676;2888;3331;3868;4071;4580;5076;4996;5178;5371;5546;5651;5998;6062;6511;6821;7157;7576;7916;8378;8751;9218;8853;8752;8616;8947
Encruzilhada do Sul;1027;1116;1192;1246;1373;1482;1647;1717;1941;2196;2145;2286;2303;2357;2601;2849;2982;3164;3042;3012;3137;3615;3296;3838;3702;3604;3619;3535
Engenho Velho;;;44;64;96;183;200;240;206;137;116;83;82;82;81;75;76;78;98;119;93;158;190;199;188;197;285;229
Entre Rios do Sul;134;120;127;152;190;188;224;230;230;230;234;253;270;298;271;305;341;327;397;385;446;452;511;613;526;461;435;428
Entreijuís;519;585;660;791;913;959;1058;1060;1082;1181;1186;1031;1173;1186;1096;1100;1210;1255;1364;1439;1499;1527;1682;1844;1894;1976;2008;2035
Erebango;187;111;111;133;156;175;182;170;178;176;165;163;172;162;158;162;186;259;379;412;398;416;420;447;373;378;397;392
Erechim;11732;12998;13964;16616;18299;19330;21591;23718;24067;25840;26442;26569;26981;28441;29016;31009;34541;35894;38567;40612;43238;46975;48087;51271;49576;48605;47755;48263
Ernestina;130;125;151;158;175;182;190;223;245;308;340;314;331;377;360;366;596;572;602;629;645;639;693;722;696;671;696;688
Erval Grande;304;281;299;282;280;209;209;228;271;298;385;364;420;431;426;437;471;442;453;447;543;652;640;729;740;646;627;636
Erval Seco;482;490;533;522;508;539;556;610;604;714;653;690;671;675;672;750;730;749;886;895;983;1219;1215;1280;1123;1319;1502;1304
Esmeralda;127;126;129;138;148;164;182;223;251;284;305;367;511;531;505;429;524;529;579;671;695;881;883;798;768;762;851;752
Esperança do Sul;;;;;;;70;83;87;100;116;128;138;146;133;127;138;170;168;190;251;281;300;311;317;333;352;345
Espumoso;1614;1588;1693;1800;1904;1985;2079;2305;2440;2642;2859;2956;3102;3405;3254;3343;3623;3952;4245;4251;4537;4829;4971;5305;5085;4974;5092;4931
Estação;496;572;509;541;605;656;712;732;771;776;804;773;820;800;831;803;860;1017;1095;1137;1039;1027;1050;1333;1437;1407;1418;1402
Estância Velha;4131;4426;3875;4028;4575;5420;5959;6289;6886;7057;8098;8002;9058;9179;10225;10370;10632;11283;11557;12268;13266;14871;14836;17752;16769;16009;15658;15911
Esteio;9654;10218;11333;12002;13563;13915;14222;15971;16680;19138;23922;24969;26684;28479;32513;35057;37385;40563;38631;42751;46281;47654;45949;49049;44548;40616;36268;36900
Estrela;4447;4766;5055;5412;6147;6752;7487;7622;7774;8252;8487;8906;8665;8596;9015;9305;9886;10579;11259;12061;13207;14596;15892;16961;15929;15525;17157;17917
Estrela Velha;;;;;;;;;;1;1;0;;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0
Eugênio de Castro;193;110;127;147;193;220;240;255;251;307;249;253;242;267;384;520;670;682;656;776;661;546;494;554;532;542;589;609
Fagundes Varela;106;102;109;103;145;176;217;242;301;365;391;396;353;359;374;350;357;426;447;496;482;494;459;528;504;515;500;491
Farroupilha;5963;6513;7466;8524;9689;11240;13139;14908;15523;17392;17261;17841;18558;19121;19562;19588;21397;22868;25637;27305;29219;31951;37942;45253;39177;33751;32981;32744
Faxinal do Soturno;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Faxinalzinho;98;99;131;123;111;124;140;135;141;157;169;156;136;125;128;151;161;167;210;245;247;280;287;315;344;343;343;331
Fazenda Vilanova;;;;;;;276;318;295;285;325;359;415;396;439;525;585;686;651;688;790;860;795;768;805;777;732;748
