variavel: Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Comercial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades:;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
São José do Hortêncio;120;128;150;155;174;218;247;265;278;314;390;414;416;444;507;513;482;559;644;682;712;755;704;797;886;1040;1101;982
São José do Inhacorá;;;69;107;123;134;133;132;146;162;169;179;177;159;154;154;151;168;207;269;283;307;315;345;310;297;308;293
São José do Norte;789;771;796;804;835;892;969;1039;1122;1121;1150;1138;1138;1223;1303;1391;1582;4398;1634;2090;1927;2352;2375;3193;3202;3147;3303;3186
São José do Ouro;587;602;593;589;655;719;798;927;891;1039;1089;1063;1152;1189;1161;1086;1238;1253;1382;1495;1714;2079;1992;2223;2031;1914;1834;1757
São José do Sul;;;;;;;;;;;;;188;304;247;232;252;306;401;340;356;366;445;516;386;376;441;366
São José dos Ausentes;;;48;57;60;64;64;81;87;106;129;160;165;194;239;267;298;419;374;356;360;465;570;600;590;591;579;512
São Leopoldo;33867;34851;36511;37331;41671;46907;51385;55730;61717;67806;74022;67023;69601;72185;80835;81819;88446;91667;95929;99099;104410;112762;118093;123378;112145;105618;106926;107601
São Lourenço do Sul;3218;3351;3586;3534;3987;4183;4548;4914;5240;5515;5984;5893;5753;5815;6794;6614;7080;7578;7910;8597;9165;9584;8990;11244;11186;11134;12332;12142
São Luiz Gonzaga;4185;4165;4407;4239;4671;4636;5207;5617;5936;5993;5978;5952;6182;6605;6649;6967;7939;8236;8513;8790;9529;10028;10087;10868;10476;10985;11218;10908
São Marcos;2168;2321;2554;2578;2970;3243;3219;3594;3618;4075;4092;4020;3882;3795;4322;4584;5049;5160;5572;6177;6585;6999;7810;8334;7608;7538;7368;7321
São Martinho;659;637;672;645;712;731;761;856;895;933;895;940;942;984;986;994;981;963;971;1028;1274;1933;1847;1529;1577;1512;1613;1614
São Martinho da Serra;;;26;32;59;77;100;94;100;95;132;115;103;98;123;143;161;236;242;256;315;348;340;371;350;330;372;313
São Miguel das Missões;;;;;;;;1;2;1;;;3;;2;2;1;1;0;0;1;1;1;1;0;0;1;0
São Nicolau;363;362;359;358;357;362;350;342;376;434;396;373;540;473;502;492;527;529;537;552;580;675;749;907;938;973;1024;895
São Paulo das Missões;344;394;427;424;446;448;497;485;509;562;598;594;547;536;571;622;738;747;782;797;819;814;788;897;846;856;860;851
São Pedro das Missões;;;;;;;;;;;35;49;49;53;56;53;50;62;98;115;123;116;121;115;127;163;143;202
São Pedro do Butiá;;;162;189;196;198;193;184;180;211;218;217;249;280;265;250;225;273;309;338;360;402;387;408;406;403;437;531
São Pedro do Sul;1268;1334;1392;1402;1806;1744;1672;1499;1689;1942;2064;2046;1808;1975;2106;2114;2270;2451;2486;2594;2879;2935;2796;3166;3022;3174;3326;3358
São Sebastião do Caí;2541;2581;2739;3002;3401;3883;4342;4199;4620;4895;5025;5011;5334;5630;5879;6328;6782;7244;8034;8362;8797;9444;9212;10158;9514;8961;9862;9734
São Sepé;2062;2236;2243;2269;2477;2617;2812;3053;3600;3938;3742;3759;3615;3857;3891;3976;4150;4511;4882;5105;5244;5418;5621;6515;6220;6416;6543;6767
São Valentim;278;281;289;274;307;311;307;349;353;404;459;473;461;437;458;494;558;572;574;610;623;676;680;766;737;708;666;657
São Valentim do Sul;;;52;50;71;92;103;113;112;128;143;158;157;172;198;215;232;242;257;245;245;323;312;343;325;285;278;296
São Valério do Sul;;;47;75;90;93;104;93;87;115;83;87;82;95;117;127;126;135;177;194;201;208;190;183;182;168;134;158
São Vendelino;63;57;77;81;83;164;249;253;254;286;317;341;314;355;387;435;539;613;670;705;881;1075;1148;1280;1149;970;997;887
São Vicente do Sul;495;514;549;547;630;678;740;797;924;1001;983;985;1046;1255;1162;1132;1205;1238;1268;1280;1357;1345;1414;1632;1485;1477;1510;1558
Sapiranga;6129;6752;7571;7826;8801;9532;10343;10865;12199;13468;15137;15013;16129;17464;17924;18013;19323;20284;21517;22496;24367;27713;25867;28665;25568;23837;23415;24059
Sapucaia do Sul;8840;9471;10091;10571;12143;13601;15385;16774;17544;19620;19554;19061;19440;19239;20330;21979;24625;26349;29153;29429;31771;34568;34904;37961;35660;34626;35004;35408
Sarandi;2608;2637;2537;2489;2650;3108;3542;3862;4142;4360;4235;4443;4839;5050;5486;5622;6079;6510;6886;6918;7333;9206;9359;10287;9552;9172;9135;8597
Seberi;969;650;716;788;857;926;1028;1023;1085;1247;1244;1212;1324;1546;1478;1475;1704;1856;1858;2016;2385;2491;2644;2993;3045;3095;3205;3322
Sede Nova;128;110;119;116;128;135;137;142;145;143;153;162;168;203;195;180;212;225;267;317;413;609;577;602;622;599;668;685
Segredo;176;199;177;173;189;203;257;237;256;251;295;297;291;313;285;337;387;401;447;452;464;488;499;528;490;496;501;520
Selbach;25;30;34;32;39;33;29;42;43;55;45;48;46;48;43;47;43;40;40;38;37;39;37;;;0;0;0
Senador Salgado Filho;;;;;;;20;23;33;33;28;28;36;38;45;45;48;49;55;48;46;50;57;64;55;43;7;9
Sentinela do Sul;;;72;83;104;123;152;162;210;253;264;285;274;287;316;291;301;337;326;379;524;610;569;706;580;566;606;561
Serafina Corrêa;1212;1368;1338;1231;1424;1656;1860;2141;2242;2320;2311;2425;2447;2871;2966;3161;3474;3738;4054;4248;4858;4939;5051;5198;5144;5041;5035;4964
Sério;;;;;;22;24;1;16;19;15;18;12;15;19;19;21;13;14;13;13;9;9;6;3;3;5;9
Sertão;338;345;379;356;368;400;421;424;459;493;499;504;550;578;621;633;690;806;825;821;743;801;802;873;867;869;873;879
Sertão Santana;;;204;252;286;325;396;420;439;501;514;522;558;594;670;734;759;750;769;827;889;939;928;1085;996;1070;1575;1483
Sete de Setembro;;;;;;;7;105;106;116;138;166;135;115;122;117;119;115;135;141;132;131;154;161;172;163;145;136
Severiano de Almeida;184;183;200;191;227;244;306;314;336;445;479;494;496;530;527;532;547;547;556;585;649;806;887;900;913;879;867;896
Silveira Martins;;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;0
Sinimbu;;;545;664;698;820;775;708;808;861;786;853;848;883;1042;1063;1132;1106;1194;1262;1311;1404;1385;1491;1422;1341;1413;1283
Sobradinho;1440;1515;1571;1652;1765;1911;2032;2144;2315;2609;2750;2830;2775;2862;3293;3391;3656;3800;3995;4118;4321;4666;4964;5139;4655;4456;4432;4473
Soledade;3009;3062;3191;3428;3631;3774;4241;4522;4985;5252;5412;5616;5668;5907;6143;6144;7035;7252;7724;7715;8031;8263;8268;9175;8656;8506;8301;8087
Tabaí;;;;;;;;;7;8;8;7;3;;2;3;3;2;2;2;2;2;3;2;3;3;4;3
Tapejara;167;162;28;;;;;;6;10;10;9;11;11;11;11;11;13;9;10;8;10;13;14;15;16;19;20
Tapera;1397;1236;1303;1316;1376;1515;1618;1697;1762;1849;1890;1875;1899;1905;2852;3564;3765;3616;3553;3761;4064;4313;4430;4735;4546;4666;4712;4097
Tapes;1433;1541;1597;1700;1843;1915;2131;2254;2412;2459;2621;2555;2594;2566;2958;3213;3318;3640;3780;3729;3676;3976;3541;4314;4199;4065;4147;3992
Taquara;7036;7377;7733;8205;9193;10344;11322;12041;12543;13754;14494;13569;13211;13840;14174;14098;15014;15258;16272;17670;18851;20304;20516;22639;22148;20988;20063;19065
Taquari;2100;2221;2417;2550;2800;2940;3351;3594;3723;3926;4219;4063;4196;4233;4559;4495;4777;4857;5070;5264;5406;5899;5682;6078;5872;5560;5330;5277
Taquaruçu do Sul;83;77;88;80;89;111;136;139;144;160;162;162;160;188;186;180;195;244;283;404;411;532;603;661;629;627;634;610
Tavares;238;238;259;254;279;328;332;328;351;389;437;519;508;541;566;542;528;566;633;672;711;752;675;804;816;848;928;911
Tenente Portela;1917;1567;1555;1625;1789;1821;1922;2116;2209;2361;2377;2220;2074;2060;1952;1875;1963;2210;2713;3224;3244;3521;3825;4024;4408;4662;4729;4616
Terra de Areia;1091;1084;1140;1008;1017;1175;1311;1485;1492;1769;1606;1560;1635;1746;2010;1980;2139;2186;2242;2441;2579;2954;2882;3727;3558;3640;3913;3660
Teutônia;13;4;9;23;27;33;31;28;43;43;56;42;31;27;33;36;23;23;25;25;27;42;27;26;24;26;28;37
Tio Hugo;;;;;;;;;;;;;;;53;112;113;83;100;74;8;9;2;0;0;0;0;0
Tiradentes do Sul;;;228;387;384;365;356;393;441;507;531;528;520;478;500;521;547;523;732;935;791;812;680;756;766;779;834;794
Toropi;;;;;;;93;179;144;235;232;222;194;222;257;295;265;286;317;328;376;366;357;403;350;390;426;396
Torres;7180;8102;8245;9174;10155;10873;11688;11844;12417;13687;14199;13357;13990;14289;15180;15805;16728;17530;18658;19816;21501;23760;21462;26232;26622;27120;28221;26720
Tramandaí;6228;7275;6899;7424;9030;10006;10705;11598;12113;13796;14462;14484;14983;16213;16517;17551;17931;18001;18386;19289;21657;23130;20731;26265;25923;25236;25881;24919
Travesseiro;;;1;;;;;;3;4;12;6;8;6;2;2;1;1;1;1;1;2;3;3;;3;1;0
Três Arroios;100;96;155;161;208;191;243;272;247;279;283;303;268;274;322;368;382;380;416;377;376;474;413;483;511;480;482;476
Três Cachoeiras;922;997;1097;1204;1344;1450;1607;1591;1590;1683;1724;1887;1838;1916;1985;2065;2230;2282;2400;2435;2647;2791;2806;3654;3558;3398;3651;3915
Três Coroas;1481;1567;1630;1680;1842;2260;2393;2518;2784;3156;3337;3745;4291;4631;5220;5355;5836;5838;6420;6986;7277;7645;8275;9395;9081;7544;7372;7280
Três de Maio;3118;3230;3433;3543;3841;4093;4360;4629;4693;5071;5150;5160;5337;5311;5423;5065;5479;5754;6346;6956;7514;8176;8147;9324;9359;9110;9021;8893
Três Forquilhas;;;122;135;139;189;199;205;210;190;140;147;144;173;210;208;226;216;211;231;231;258;252;299;319;305;334;339
Três Palmeiras;111;111;107;108;142;167;205;218;270;305;302;293;294;319;314;313;416;357;519;473;527;770;862;903;922;952;1061;939
Três Passos;3726;3899;4266;4218;4710;4780;4695;4972;5152;5508;5354;5524;5357;5353;5433;5480;6013;6608;7018;7080;7459;7889;7859;8620;8699;8751;8322;8430
Trindade do Sul;148;169;218;260;262;286;332;368;404;460;460;475;484;464;496;558;677;779;888;883;891;1046;1033;1101;1102;1142;1156;1091
Triunfo;979;1069;1070;1137;1232;1413;1698;1864;1930;1847;1862;1770;1884;2080;2350;2608;2878;3119;3431;3497;3815;4197;4119;4462;;3735;3845;3873
Tucunduva;881;854;731;731;821;820;870;894;951;993;944;939;974;933;1157;1378;1863;1962;2150;2219;2418;2448;2624;3018;2626;2479;2630;2417
Tunas;;;;;;;;;6;8;11;12;3;;1;1;1;1;1;1;1;1;1;6;;2;2;4
Tupanci do Sul;;;24;36;47;50;48;48;52;63;74;71;57;63;67;71;67;140;137;152;154;144;206;247;239;194;162;200
Tupanciretã;1564;1661;1753;1792;1880;1998;2235;2248;2453;2670;2515;2457;2849;3033;2937;2902;3116;3535;3806;4096;4431;4463;4777;5264;5141;5383;5223;5309
Tupandi;103;141;162;165;180;229;433;341;345;370;581;599;519;621;682;695;795;807;1055;1151;1001;1236;1189;1269;;1375;1372;1295
Tuparendi;999;1086;902;872;930;927;1015;1100;1179;1216;1273;1293;1392;1383;1388;1480;1801;1895;1965;2144;2226;2242;2426;2639;2598;2619;2761;2605
Turuçu;;;;;;;63;168;153;175;198;214;260;368;399;365;392;413;403;451;493;521;523;620;702;734;714;733
Ubiretama;;;;;;;6;83;85;82;72;83;94;85;77;90;99;108;123;144;148;161;158;158;157;173;219;259
União da Serra;;;51;60;69;81;94;83;88;95;91;98;102;90;100;104;96;97;117;119;119;115;218;297;247;193;193;181
Unistalda;;;;;;;13;22;28;28;29;48;70;80;100;101;110;109;145;207;219;224;250;234;;239;190;140
Uruguaiana;19647;22451;24292;25999;26549;26370;27857;27996;30812;34585;33980;32407;32225;33121;33842;34330;34538;35254;38209;35150;37882;39010;38075;42783;;37461;38616;39492
Vacaria;11424;14000;16048;18497;21177;22295;25106;26812;26501;29458;22950;26881;27946;31041;27684;27966;30922;33639;38218;42166;42697;45832;36737;38909;37384;33724;37562;37052
Vale do Sol;;;318;373;380;424;538;624;612;686;717;890;899;1013;925;924;1037;1134;1204;1415;1232;1262;1286;1353;;1220;1246;1186
Vale Real;;;185;209;243;316;375;384;372;441;485;578;489;541;578;656;913;957;775;878;1063;997;944;986;956;977;944;786
Vanini;51;62;68;63;79;97;92;90;97;124;133;159;165;152;136;137;158;174;205;222;223;251;294;297;309;294;337;312
Venâncio Aires;5656;5993;6061;6379;7153;8346;9873;12344;11106;12019;12568;12868;13219;13766;14194;14658;15344;16818;17130;17881;20117;20520;20480;22415;;21268;21882;20475
Vera Cruz;1863;2232;2612;2670;2636;2507;2866;2655;2864;3156;3722;3627;3720;3904;3879;3526;3636;3936;4335;4721;4900;4857;4965;5422;;4812;4745;4796
Veranópolis;2647;2803;2973;3110;3608;4107;4906;5366;5681;6516;6519;6278;6509;6487;6642;6765;7661;7658;8126;8271;8941;9533;9779;10968;11048;10845;10594;10509
Vespasiano Correa;;;;;;;137;118;128;139;193;206;176;178;220;225;275;326;375;397;418;461;435;457;;370;351;360
Viadutos;308;303;223;220;225;263;260;318;318;376;401;445;438;448;464;481;704;600;648;681;742;840;823;906;855;829;865;882
Viamão;9983;10574;11152;11649;13139;14939;18389;19450;21346;23181;24733;26136;25742;25605;27559;28666;31691;33972;35943;38506;42192;47044;45223;56157;55040;53048;52283;50121
Vicente Dutra;501;535;507;512;594;558;554;645;603;697;500;472;495;516;474;441;498;493;563;572;515;550;492;546;669;626;634;650
Victor Graeff;145;161;179;177;179;215;235;247;270;290;286;303;306;311;321;345;365;375;443;463;577;763;928;997;976;976;901;817
Vila Flores;156;157;169;168;225;258;285;328;376;386;391;396;430;383;404;438;637;620;770;739;791;805;865;850;835;849;819;759
Vila Maria;187;203;242;248;264;323;355;443;547;546;589;585;636;682;756;740;806;889;901;954;1052;1072;1074;1204;1177;1227;1177;1075
Vila Nova do Sul;;;;;;;;;2;3;;;;;4;7;12;14;8;6;6;7;6;7;;7;7;6
Vista Alegre;60;52;54;47;57;67;77;96;101;101;128;161;166;254;296;307;370;424;412;422;459;493;576;507;298;283;293;311
Vista Alegre do Prata;49;51;53;54;71;68;82;94;113;123;153;165;152;123;130;170;187;230;457;1842;1571;239;256;342;294;304;322;318
Vista Gaúcha;103;80;94;106;119;135;155;175;191;201;219;226;214;211;219;224;235;240;276;329;309;357;549;373;422;565;717;706
Vitória das Missões;;;3;;;;;11;39;39;30;12;2;2;1;1;1;2;1;1;1;1;0;1;1;1;1;1
Xangrilá;;;1547;1727;1968;2293;2657;2990;3293;3601;3823;3685;3886;4816;4990;5761;6187;6668;7313;7848;10080;11490;10928;14706;14829;15126;15052;15023
