variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Campinas do Sul;4303806;-27,7174;-52,6248;2.646;2.883;2.906;3.066;3.204;3.510;3.763;3.902;4.045;4.065;1.245;1.090;1.017;1.083;1.104;1.087;1.127;1.114;1.183;1.117;1.041;1.067;1.078;1.069;1.064;1.054;1.129;1.192
Campo Bom;4303905;-29,6747;-51,0606;164;171;195;213;216;223;136;190;284;277;282;268;290;384;454;505;541;570;595;580;578;651;716;749;640;782;856;894
Campo Novo;4304002;-27,6792;-53,8052;1.020;1.044;921;842;1.082;1.161;1.222;1.273;1.371;1.690;1.632;1.514;1.264;1.618;1.846;1.632;1.508;2.110;2.009;2.151;2.198;3.031;2.500;2.781;1.886;2.154;2.214;2.236
Campos Borges;4304101;-28,8871;-53,0008;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Candelária;4304200;-29,6684;-52,7895;8.691;9.805;10.080;10.415;11.408;12.519;14.057;14.133;15.800;16.461;17.512;18.097;20.920;20.198;20.881;21.203;21.777;22.233;22.918;23.666;24.873;25.910;25.952;28.817;26.895;27.532;28.467;28.189
Cândido Godói;4304309;-27,9515;-54,7517;5.896;5.083;5.623;6.298;6.843;7.077;7.798;8.207;7.971;7.396;7.223;7.323;7.238;7.097;6.411;6.658;7.017;7.218;7.395;4.146;1.088;1.132;1.147;1.179;1.148;1.193;1.245;1.217
Candiota;4304358;-31,5515;-53,6773;-;-;132;180;239;289;321;270;318;370;355;396;431;449;517;588;648;948;880;907;1.044;995;1.009;1.045;1.214;1.226;1.359;1.327
Canela;4304408;-29,356;-50,8119;364;342;375;391;437;436;471;527;561;557;541;580;453;494;535;641;670;726;753;759;782;839;847;944;910;1.012;1.130;1.205
Canguçu;4304507;-31,396;-52,6782;3.573;4.101;4.491;4.811;5.245;6.440;7.279;8.261;8.913;9.733;10.490;11.264;11.518;13.807;13.854;14.792;15.732;17.253;18.305;18.845;20.966;22.320;23.962;26.669;26.132;26.810;32.187;29.676
Canoas;4304606;-29,9128;-51,1857;1.139;1.163;427;200;229;215;194;191;376;403;308;356;267;317;273;236;192;483;319;323;393;346;349;337;266;296;465;391
