variavel: Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;ibge;latitude;longitude;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Machadinho;4311700;-27,5667;-51,6668;765;865;901;1.015;1.074;1.202;1.310;1.449;1.508;1.515;1.487;1.585;1.552;1.783;1.847;1.960;2.000;2.082;2.410;2.168;1.928;2.014;2.104;2.290;2.131;2.113;2.199;2.307
Mampituba;4311734;-29,2136;-49,9311;-;-;-;-;-;-;454;916;1.025;1.158;1.125;1.185;1.250;1.282;1.358;1.425;1.471;1.482;1.562;1.603;1.611;1.722;1.876;2.072;2.022;2.102;2.248;2.231
Manoel Viana;4311759;-29,5859;-55,4841;-;-;448;1.698;1.688;1.641;1.310;1.131;1.803;1.767;1.406;1.900;1.616;2.342;3.158;3.486;3.577;3.835;4.605;4.424;4.709;4.900;4.668;5.080;4.284;4.212;4.739;5.050
Maquiné;4311775;-29,6798;-50,2079;-;-;1.310;1.558;1.751;1.982;1.628;1.693;1.786;2.067;2.022;2.102;2.135;2.195;2.381;2.512;2.580;2.603;2.783;2.825;2.886;2.943;3.002;3.457;3.473;3.809;4.022;4.038
Maratá;4311791;-29,5457;-51,5573;-;-;642;739;786;759;787;901;995;1.023;1.226;1.358;1.405;1.321;1.436;1.486;1.545;1.691;1.765;1.875;2.011;2.171;2.375;2.539;2.473;2.488;2.624;2.896
Marau;4311809;-28,4498;-52,1986;7.140;7.960;8.118;7.621;9.637;10.294;11.488;14.891;17.596;18.567;18.771;19.515;21.093;21.506;21.037;20.486;23.675;24.736;24.303;5.855;519;530;450;484;580;654;799;813
Marcelino Ramos;4311908;-27,4676;-51,9095;1.522;1.475;1.514;1.481;1.529;1.686;1.826;1.879;2.013;2.103;2.123;2.267;2.054;2.129;2.280;2.282;2.648;2.469;2.532;2.457;2.536;2.633;2.624;2.821;2.750;2.696;2.767;3.014
Mariana Pimentel;4311981;-30,3531;-51,5803;-;-;821;1.046;1.156;1.075;1.086;1.201;1.328;1.527;1.601;1.701;1.812;1.969;2.063;2.019;2.051;2.057;2.200;2.283;2.384;2.470;2.587;2.844;2.553;2.553;2.901;2.775
Mariano Moro;4312005;-27,3568;-52,1467;804;836;864;821;953;943;1.053;1.081;1.145;1.178;1.342;1.475;1.334;1.357;1.477;1.563;1.569;1.687;1.640;1.641;1.665;1.685;1.927;1.998;1.920;1.815;1.867;1.871
Mata;4312104;-29,5649;-54,4641;1.298;1.422;1.397;1.466;1.713;1.537;1.755;1.494;1.951;2.044;1.937;2.087;2.050;2.252;2.731;2.533;2.705;2.947;3.079;2.833;3.225;3.373;2.975;3.287;2.650;2.580;2.694;3.028
Mato Leitão;4312153;-29,5285;-52,1278;-;-;941;1.079;1.227;1.325;1.421;1.419;1.468;1.476;1.804;1.897;1.967;1.978;2.141;2.314;2.568;2.691;2.972;3.211;3.259;3.324;3.514;3.759;3.283;3.000;3.407;3.403
Maximiliano de Almeida;4312203;-27,6325;-51,8021;940;1.054;1.078;1.144;1.178;1.314;1.360;1.476;1.392;1.528;1.508;1.592;1.453;1.535;1.612;1.636;1.688;1.751;1.803;1.754;1.797;1.828;1.877;1.995;1.814;1.786;1.847;1.938
Minas do Leão;4312252;-30,1346;-52,0423;-;-;693;865;1.029;740;484;779;1.466;1.785;1.262;1.320;1.282;1.799;2.207;2.268;2.099;2.553;2.292;1.868;2.385;1.799;1.598;1.725;999;953;993;1.254
Miraguaí;4312302;-27,497;-53,6891;631;767;957;985;989;1.052;1.134;1.200;1.319;1.457;1.491;1.507;1.571;1.697;1.830;1.921;2.045;1.975;2.173;1.564;996;1.026;1.033;1.104;1.214;1.222;1.572;1.783
Montauri;4312351;-28,6462;-52,0767;135;143;158;182;197;211;229;241;242;276;288;297;288;314;331;351;392;418;420;447;472;509;512;542;529;527;539;572
Monte Alegre dos Campos;4312377;-28,6805;-50,7834;-;-;-;-;-;-;354;467;542;656;716;747;825;923;986;1.032;1.145;1.209;1.293;1.310;1.395;1.497;1.663;1.786;1.741;1.920;2.077;1.993
Monte Belo do Sul;4312385;-29,1607;-51,6333;-;-;1.203;1.302;1.240;1.376;1.477;1.537;1.552;1.687;1.626;1.629;1.576;1.636;1.675;1.713;1.741;1.793;1.870;1.800;1.806;1.851;1.904;1.948;1.953;1.892;2.013;2.058
Montenegro;4312401;-29,6824;-51,4679;2.646;2.938;1.812;1.724;1.950;1.995;2.355;3.480;3.919;4.034;4.658;5.193;5.605;5.699;6.262;6.797;7.410;8.914;17.406;28.231;30.738;32.659;15.380;10.993;8.681;7.462;6.288;6.408
Mormaço;4312427;-28,6968;-52,6999;-;-;163;185;176;188;214;301;358;414;442;471;466;502;549;580;650;693;725;708;774;773;795;867;894;886;960;989
Morrinhos do Sul;4312443;-29,3578;-49,9328;-;-;1.159;1.274;1.491;1.526;1.514;1.511;1.686;1.876;1.809;1.925;1.949;2.050;2.179;2.207;2.255;2.341;2.472;2.513;2.454;2.509;2.608;2.899;2.865;2.866;3.061;3.035
Morro Redondo;4312450;-31,5887;-52,6261;1.221;1.241;1.293;1.307;1.402;1.594;1.748;1.824;1.982;2.111;2.313;2.269;2.290;2.528;2.538;2.556;2.610;2.622;2.610;2.673;2.819;2.942;3.049;3.227;3.038;2.886;3.011;2.966
Morro Reuter;4312476;-29,5379;-51,0811;-;-;732;749;615;659;786;938;1.240;1.145;1.294;1.273;1.311;1.230;1.282;1.315;1.443;1.486;1.550;1.639;1.698;1.833;1.799;1.971;1.848;1.920;2.093;2.134
Mostardas;4312500;-31,1054;-50,9167;9.310;10.543;10.657;11.082;11.509;12.128;12.262;11.917;14.244;14.984;13.717;14.430;14.887;15.921;20.925;19.602;18.959;21.717;22.222;23.962;23.255;25.789;25.747;28.333;27.003;26.017;27.763;29.011
Muçum;4312609;-29,163;-51,8714;2.175;1.608;1.631;1.799;1.810;1.643;726;749;812;773;929;984;757;672;854;900;968;1.035;1.143;1.238;1.268;1.255;1.284;1.316;1.191;1.206;1.229;1.339
Muitos Capões;4312617;-28,3132;-51,1836;-;-;-;-;-;-;889;1.836;1.685;1.990;1.971;2.311;2.497;2.577;2.580;2.872;3.103;3.146;3.162;3.081;3.206;3.207;3.276;3.608;3.610;3.347;3.850;4.054
Muliterno;4312625;-28,3253;-51,7697;-;-;-;73;118;125;123;126;134;145;143;167;162;178;186;195;208;222;255;233;251;261;269;298;230;348;313;302
Não-Me-Toque;4312658;-28,4548;-52,8182;3.974;3.314;3.422;3.413;4.157;4.331;4.482;4.718;4.809;5.246;5.107;5.348;5.457;5.706;6.138;6.453;6.805;7.414;7.621;2.338;842;766;638;1.100;982;658;471;462
Nonoai;4312708;-27,3689;-52,7756;2.510;2.856;1.887;1.821;1.976;2.244;2.468;2.636;2.794;3.025;3.058;3.093;1.891;705;883;820;1.093;711;1.307;837;858;905;931;1.021;1.030;1.005;1.001;1.060
Nova Alvorada;4312757;-28,6822;-52,1631;-;-;672;1.405;1.488;1.635;1.754;1.990;2.093;2.537;2.851;3.335;3.776;4.075;4.092;4.208;5.018;5.316;5.449;5.754;6.247;6.571;6.888;7.211;6.612;6.287;6.309;6.386
Nova Araçá;4312807;-28,6537;-51,7458;1.682;1.731;1.859;2.098;2.263;2.457;2.778;2.938;2.943;3.355;3.455;3.567;3.546;3.732;3.751;4.004;4.376;5.016;5.119;5.176;5.415;5.705;5.806;6.099;5.875;5.990;6.255;5.762
Nova Bassano;4312906;-28,7291;-51,7072;2.438;3.329;3.372;3.715;3.780;3.952;4.267;4.597;4.599;4.611;3.337;2.884;2.740;2.860;2.942;2.767;2.878;3.379;3.443;3.370;3.451;3.596;3.644;3.851;3.840;3.792;3.915;4.102
Nova Boa Vista;4312955;-27,9926;-52,9784;-;-;603;934;984;1.085;1.130;1.151;1.204;1.426;1.413;1.400;1.330;1.373;1.402;1.428;1.461;1.607;1.643;1.661;1.685;1.726;1.731;1.815;1.737;1.736;1.824;1.878
Nova Bréscia;4313003;-29,2182;-52,0319;1.811;1.949;2.090;2.221;2.445;2.489;2.523;2.500;3.231;3.306;4.279;4.457;4.231;4.044;5.009;5.280;5.607;6.178;6.452;6.533;6.920;7.401;7.411;8.225;7.919;8.957;9.576;9.350
Nova Candelária;4313011;-27,6137;-54,1074;-;-;-;-;-;-;1.782;2.142;2.249;2.667;2.842;2.914;2.805;2.963;3.251;3.362;3.583;3.768;3.968;4.011;3.864;3.809;3.789;4.065;4.162;4.157;4.375;4.493
Nova Esperança do Sul;4313037;-29,4066;-54,8293;807;398;437;480;503;529;615;588;735;816;821;870;782;699;827;898;908;920;927;890;993;991;942;1.023;966;978;1.061;1.117
Nova Hartz;4313060;-29,5807;-50,9051;243;249;255;257;253;269;309;312;367;406;422;433;298;365;431;476;554;578;631;653;743;798;842;933;823;963;1.055;1.063
Nova Pádua;4313086;-29,0275;-51,3098;-;-;1.106;1.357;1.497;1.426;1.482;1.628;1.954;1.854;2.079;2.106;1.937;2.190;2.135;2.304;2.308;2.501;2.485;2.779;2.479;2.788;2.726;2.935;3.096;2.953;3.383;3.206
Nova Palma;4313102;-29,471;-53,4689;-;-;86;95;54;54;34;-;-;-;-;-;-;-;-;-;-;-;-;-;0;16;16;13;8;16;14;14
Nova Petrópolis;4313201;-29,3741;-51,1135;3.918;4.086;3.455;3.561;3.967;4.149;4.455;4.364;4.612;5.125;5.130;5.035;4.769;5.333;5.692;5.986;6.062;6.146;6.405;6.546;6.296;6.486;6.230;6.516;6.359;6.500;6.710;6.917
Nova Prata;4313300;-28,7799;-51,6113;1.736;1.768;1.753;1.838;2.017;2.050;2.346;2.450;2.425;2.599;3.043;3.477;3.166;3.426;3.663;3.798;4.089;4.354;4.274;4.056;4.087;4.199;4.184;4.462;4.380;4.321;4.553;4.700
Nova Roma do Sul;4313359;-28,9882;-51,4095;771;850;912;979;970;1.136;1.341;1.364;1.627;1.727;1.761;1.928;1.840;1.992;1.988;2.123;2.166;2.322;2.240;2.302;2.332;2.560;2.659;3.010;2.891;2.922;3.295;3.453
Nova Santa Rita;4313375;-29,8525;-51,2837;-;-;800;916;1.081;979;1.192;1.222;1.394;1.522;1.402;1.402;1.286;1.423;1.437;1.544;1.728;1.914;1.858;1.965;2.178;2.395;2.424;2.881;2.491;2.429;2.635;3.024
Novo Barreiro;4313490;-27,9077;-53,1103;-;-;671;954;968;1.040;1.169;1.247;1.276;1.436;1.492;1.667;1.706;1.791;1.540;1.522;1.615;1.993;2.140;1.760;1.713;1.775;1.886;2.020;1.886;1.917;2.063;2.160
Novo Cabrais;4313391;-29,7338;-52,9489;-;-;-;-;-;-;-;280;256;256;266;294;327;332;353;379;400;435;434;450;462;473;484;537;467;465;505;519
Novo Hamburgo;4313409;-29,6876;-51,1328;1.254;1.151;1.232;1.348;1.537;1.459;75;63;2.077;2.020;2.200;2.254;2.503;2.558;2.826;2.960;3.194;3.244;3.451;3.726;3.798;4.150;4.330;4.575;3.762;3.870;4.339;4.731
Novo Machado;4313425;-27,5765;-54,5036;-;-;2.193;2.740;2.859;2.951;3.231;3.289;3.345;3.408;3.156;3.537;3.475;3.564;3.653;3.684;3.757;3.833;3.969;3.943;3.990;4.141;4.005;4.012;3.989;4.123;4.320;3.865
Novo Xingu;4313466;-27,7431;-53,0616;-;-;-;-;-;-;-;-;-;-;459;546;534;670;771;1.112;1.231;1.313;1.319;1.298;1.373;1.383;1.626;1.501;1.432;1.389;1.461;1.524
Osório;4313508;-29,8881;-50,2667;5.052;4.863;3.797;3.607;4.135;4.043;3.483;3.566;4.129;4.109;3.497;3.763;4.357;4.865;5.660;5.571;6.041;6.234;6.529;6.465;6.321;6.395;5.908;5.821;5.824;5.733;5.993;6.317
Paim Filho;4313607;-27,7075;-51,763;1.651;1.106;1.150;1.272;1.294;1.472;1.411;1.591;1.631;1.785;1.867;1.956;1.874;1.972;2.102;2.119;2.228;2.277;2.377;2.403;2.433;2.611;2.694;2.803;2.761;2.676;2.763;2.861
Palmares do Sul;4313656;-30,2535;-50,5103;14.575;17.826;18.701;16.554;17.802;15.776;14.525;9.005;12.236;12.769;10.011;11.560;11.951;13.935;16.987;15.608;16.716;17.532;17.686;19.185;18.822;19.718;20.328;21.107;17.682;16.418;15.664;16.157
Palmeira das Missões;4313706;-27,9006;-53,3134;15.360;16.147;15.790;6.363;3.061;3.344;3.469;5.077;7.339;10.701;10.657;9.403;8.967;10.724;10.587;10.229;13.348;14.931;14.570;8.892;4.137;4.316;4.190;4.902;4.909;5.065;5.908;6.403
Palmitinho;4313805;-27,3596;-53,558;2.893;1.728;1.151;952;1.043;1.193;1.410;1.441;1.458;1.711;1.684;1.736;1.699;1.681;1.862;1.937;2.098;2.237;2.262;2.366;2.652;2.513;2.586;2.805;2.829;2.738;2.951;3.130
Panambi;4313904;-28,2833;-53,5023;9.941;8.855;9.424;10.320;10.273;11.984;12.793;12.482;13.170;13.924;13.882;14.543;14.596;15.318;15.870;15.280;15.470;17.150;17.424;4.224;0;0;0;-;-;0;0;0
Pantano Grande;4313953;-30,1901;-52,3729;2.483;2.084;2.374;2.310;2.700;2.166;2.116;1.953;2.817;3.498;2.426;2.656;2.103;2.098;2.215;2.410;2.234;2.615;2.857;3.526;3.923;4.207;3.799;4.143;3.773;3.792;4.126;4.499
Paraí;4314001;-28,5964;-51,7896;1.459;1.616;1.702;1.860;1.922;1.845;1.914;2.126;2.129;2.309;2.616;2.948;2.506;2.585;2.687;2.985;3.163;3.527;3.385;3.257;3.538;3.602;3.825;4.046;3.983;3.975;4.367;4.491
Paraíso do Sul;4314027;-29,6717;-53,144;3.577;4.056;4.218;4.663;4.952;5.196;6.121;5.663;6.355;6.613;7.782;9.191;9.152;8.493;9.455;9.467;9.429;9.885;10.391;10.302;11.279;11.576;11.418;12.836;11.713;11.770;12.249;12.352
Pareci Novo;4314035;-29,6365;-51,3974;-;-;1.073;1.221;1.403;1.402;1.328;1.515;1.758;1.980;2.074;2.038;2.166;2.095;2.242;2.668;3.129;3.513;3.818;4.061;4.099;4.312;4.202;4.580;4.182;4.408;4.540;4.565
Parobé;4314050;-29,6243;-50,8312;399;460;501;510;535;569;603;722;814;883;961;965;830;927;1.038;1.140;1.251;1.268;1.439;1.495;1.590;1.727;1.780;1.941;1.754;1.811;1.975;2.068
Passa Sete;4314068;-29,4577;-52,9599;-;-;-;-;-;-;1.420;1.433;1.520;1.641;2.025;2.325;2.538;2.502;2.900;3.009;3.010;2.979;3.269;3.353;3.550;3.826;3.935;4.472;4.199;3.887;4.325;4.548
Passo do Sobrado;4314076;-29,748;-52,2748;-;-;2.925;3.447;3.481;4.008;4.357;4.558;5.112;5.076;5.691;6.042;6.387;6.291;6.815;6.968;7.370;7.487;7.860;8.317;8.726;8.669;8.948;10.070;9.700;1.855;1.983;3.020
Passo Fundo;4314100;-28,2576;-52,4091;12.734;13.168;13.274;13.000;16.036;18.049;20.500;21.147;24.063;24.785;28.375;29.085;29.874;33.153;31.997;30.570;35.398;38.564;41.813;12.480;3.105;3.398;3.360;3.375;3.097;3.031;3.067;8.356
Paulo Bento;4314134;-27,6978;-52,4261;-;-;-;-;-;-;-;-;-;-;671;685;601;805;1.140;1.227;1.294;1.281;1.422;1.425;1.435;1.484;1.484;1.573;1.593;1.578;1.645;1.688
Paverama;4314159;-29,5485;-51,7339;483;468;449;464;488;472;335;369;487;477;585;638;658;604;669;672;700;697;704;731;726;726;762;828;740;780;836;856
Pedras Altas;4314175;-31,7217;-53,5838;-;-;-;-;-;-;-;-;-;-;15;172;281;1.814;1.826;1.630;1.500;1.694;1.830;1.861;2.109;2.341;1.943;2.005;2.379;2.432;2.174;2.740
Pedro Osório;4314209;-31,8642;-52,8184;2.415;2.514;2.166;2.427;3.433;3.389;2.297;1.698;2.104;1.825;1.051;1.496;1.514;1.772;2.642;2.223;1.929;1.889;1.771;2.586;2.528;2.587;2.296;2.249;2.341;2.378;2.391;2.207
Pejuçara;4314308;-28,4283;-53,6579;52;5;19;19;29;26;30;31;28;24;26;23;25;30;32;40;48;44;45;56;67;84;90;81;90;70;74;109
Pelotas;4314407;-31,7649;-52,3371;16.590;15.514;15.438;16.513;17.887;17.155;16.014;15.724;18.069;17.518;18.282;17.422;18.517;20.683;19.513;20.657;20.206;23.280;21.307;24.140;25.625;24.985;23.930;24.833;25.582;26.447;26.954;27.778
Picada Café;4314423;-29,4464;-51,1367;-;-;864;919;800;867;981;1.038;937;1.060;1.032;1.208;1.069;1.067;1.156;1.176;1.255;1.219;1.306;1.329;1.270;1.314;1.327;1.480;1.388;1.487;1.476;1.532
Pinhal da Serra;4314464;-27,8634;-51,1702;-;-;-;-;-;-;-;-;-;-;441;547;525;552;594;621;672;728;795;876;929;1.024;1.087;1.222;1.076;1.305;1.370;1.385
Pinhal Grande;4314472;-29,345;-53,3207;-;-;604;765;837;811;947;1.127;1.269;1.345;1.295;1.366;1.321;1.359;1.466;1.482;1.598;1.611;1.707;1.748;1.768;1.748;1.754;1.963;1.848;1.951;1.951;1.986
Pinheirinho do Vale;4314498;-27,2109;-53,608;-;-;625;1.061;1.093;1.223;1.363;1.395;1.563;1.878;1.822;1.990;1.843;2.093;2.291;2.340;2.586;2.670;2.845;2.824;2.939;3.025;3.092;3.300;3.256;3.406;3.613;3.693
Pinheiro Machado;4314506;-31,5794;-53,3798;554;612;545;545;615;714;716;754;796;876;948;1.052;1.107;1.114;1.241;1.298;1.432;1.538;1.583;1.678;1.810;1.840;1.928;2.011;1.930;1.909;2.121;1.960
Pinto Bandeira;4314548;-29;-54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.452;4.595;4.007;3.402;4.174;3.589
Pirapó;4314555;-28,0439;-55,2001;656;647;748;779;794;950;1.050;1.147;1.207;1.319;1.293;1.282;1.349;1.385;1.329;1.493;1.544;1.576;1.571;793;369;426;404;437;414;353;430;503
Piratini;4314605;-31,4473;-53,0973;802;875;1.106;1.158;1.280;1.574;2.080;2.157;2.290;2.474;2.898;3.059;3.140;3.464;3.623;3.666;3.844;4.000;4.308;4.531;4.558;4.631;4.780;4.929;4.657;4.961;5.324;5.718
Planalto;4314704;-27,3297;-53,0575;6.278;6.709;6.011;1.798;1.821;1.843;1.978;2.063;2.179;2.483;2.324;2.397;2.427;2.598;2.818;2.781;3.004;3.045;2.972;2.894;2.941;2.990;3.010;3.170;3.237;3.230;3.346;3.539
Poço das Antas;4314753;-29,4481;-51,6719;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;35;34;36;31;10;5;7
Ponte Preta;4314787;-27,6587;-52,4848;-;-;615;738;863;883;965;1.035;1.006;1.211;1.181;1.252;1.131;1.241;1.248;1.349;1.493;1.485;1.615;1.564;1.669;1.721;1.830;1.886;1.844;1.791;1.811;1.955
Portão;4314803;-29,7015;-51,2429;489;508;548;583;652;624;553;629;772;758;798;838;914;949;1.067;1.211;1.397;1.413;1.503;1.581;1.561;1.686;1.653;1.723;1.461;1.563;1.602;1.617
Porto Alegre;4314902;-30,032778;-51,23;9.009;8.456;9.195;9.139;9.790;9.331;9.676;9.141;9.706;8.510;7.059;7.101;6.668;4.313;3.161;3.498;3.022;2.777;2.751;2.903;3.022;2.878;2.808;2.892;2.615;2.727;2.519;2.596
Porto Lucena;4315008;-27,8569;-55,01;2.294;184;167;185;214;237;348;412;412;448;433;444;437;463;479;484;502;531;587;450;472;486;492;492;491;500;524;514
Porto Mauá;4315057;-27,5796;-54,6657;-;-;494;600;642;701;748;783;795;879;881;902;849;873;904;966;1.016;1.062;1.095;1.121;1.157;1.245;1.209;1.268;1.233;1.230;1.285;1.307
Porto Vera Cruz;4315073;-27,7405;-54,8994;-;-;101;115;137;164;185;212;224;250;264;277;260;280;299;300;296;312;308;289;294;303;314;324;315;335;353;353
Porto Xavier;4315107;-27,9082;-55,1379;2.165;2.144;2.211;2.250;2.491;2.882;3.121;3.359;3.786;4.054;4.234;4.366;4.334;4.552;4.774;5.039;5.115;5.394;5.521;2.322;1.002;1.044;1.047;1.121;1.123;1.114;1.135;1.214
Presidente Lucena;4315149;-29,5176;-51,1798;-;-;515;519;554;562;744;829;1.044;995;1.141;1.182;1.220;1.183;1.265;1.393;1.502;1.496;1.579;1.646;1.751;1.949;2.079;2.251;2.069;2.153;2.349;2.449
Protásio Alves;4315172;-28,7572;-51,4757;530;557;597;612;647;624;706;760;966;1.084;1.089;1.500;1.466;1.603;1.633;1.701;1.936;2.147;2.225;2.240;2.349;2.333;2.366;2.406;2.406;2.527;2.692;2.813
Putinga;4315206;-29,0045;-52,1569;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;0;0;638;2.332;2.240;2.209;2.224;5.117
Quaraí;4315305;-30,384;-56,4483;6.012;5.978;7.084;7.352;7.027;5.865;6.384;5.132;6.982;6.277;5.776;6.359;7.237;9.958;10.279;12.254;8.692;13.953;13.158;14.136;13.465;12.203;14.271;13.078;12.937;13.206;11.728;14.248
Quatro Irmãos;4315313;-27,8163;-52,4419;-;-;-;-;-;-;-;-;-;-;973;1.111;819;1.027;1.038;1.132;1.109;1.173;1.310;1.253;1.260;1.266;1.283;1.288;1.264;1.212;1.314;1.343
Quevedos;4315321;-29,3504;-54,0789;-;-;148;224;259;308;358;380;456;468;686;817;741;648;801;885;960;1.008;1.088;1.087;1.136;1.202;1.227;1.354;1.220;1.227;1.280;1.318
Quinze de Novembro;4315354;-28,7465;-53,1011;76;85;78;48;58;68;124;152;169;181;177;201;186;186;190;207;226;240;247;266;285;301;337;386;385;416;484;507
Redentora;4315404;-27,664;-53,6407;1.590;1.395;1.464;1.541;1.609;1.658;1.794;1.939;2.065;2.122;2.179;2.240;2.050;1.886;1.900;1.952;2.048;2.325;2.629;2.242;1.996;2.017;2.034;1.939;1.831;2.023;2.135;2.130
Relvado;4315453;-29,1164;-52,0778;580;632;583;628;677;685;612;688;705;669;797;923;796;694;875;945;988;1.008;1.021;1.050;1.025;971;920;981;901;913;962;941
Restinga Sêca;4315503;-29,8188;-53,3807;1.629;1.628;1.636;1.702;2.091;2.048;2.529;1.635;2.920;3.477;2.001;2.808;2.357;2.953;3.523;3.757;3.351;3.842;3.686;2.355;4.590;4.212;3.647;3.902;2.776;2.404;3.289;4.072
Rio dos Índios;4315552;-27,2973;-52,8417;-;-;781;1.048;1.051;1.126;1.242;1.297;1.265;1.370;1.399;1.403;1.258;1.420;1.513;1.583;1.650;1.653;1.658;1.636;1.684;1.751;1.863;2.010;1.980;1.917;1.959;1.986
Rio Grande;4315602;-32,0349;-52,1071;18.086;20.707;20.001;21.871;20.874;14.664;15.278;16.441;16.186;16.514;13.442;11.579;12.506;13.102;18.449;18.163;16.539;20.615;18.256;22.329;21.617;24.728;22.054;23.914;24.147;25.123;25.308;26.818
Rio Pardo;4315701;-29,988;-52,3711;8.831;8.379;6.022;5.856;6.590;6.624;7.655;6.740;8.562;8.556;9.201;10.373;10.686;10.750;11.171;10.752;10.993;11.766;11.674;11.881;12.680;13.169;12.509;13.485;12.610;8.005;8.769;9.637
Riozinho;4315750;-29,639;-50,4488;299;333;350;375;468;556;613;722;813;967;1.177;1.423;1.262;1.372;1.458;1.446;1.526;1.376;1.384;1.331;1.406;1.469;1.378;1.351;1.146;1.172;1.261;1.364
Roca Sales;4315800;-29,2884;-51,8658;2.479;2.654;2.636;2.702;2.846;2.499;2.382;2.688;2.942;2.929;3.759;4.199;3.823;3.248;4.026;4.288;4.630;4.780;4.836;4.946;5.166;5.378;5.275;5.771;5.364;5.603;6.232;6.304
Rolador;4315958;-28,25767;-54,81864;-;-;-;-;-;-;-;-;-;-;335;331;320;329;337;361;378;398;398;400;414;423;411;430;411;389;413;421
Rolante;4316006;-29,6462;-50,5819;1.174;1.307;1.456;1.633;1.810;1.824;2.174;2.802;2.990;3.106;3.085;2.924;2.661;3.002;3.260;3.329;3.464;3.741;3.801;3.906;4.065;4.703;4.382;4.828;4.564;4.400;4.670;4.906
Ronda Alta;4316105;-27,7758;-52,8056;2.776;2.802;3.032;3.324;3.226;3.742;1.359;942;974;1.149;1.121;1.126;977;950;940;865;875;1.003;1.080;1.071;1.105;1.147;1.117;1.187;1.257;1.211;1.266;1.282
Rondinha;4316204;-27,8315;-52,9081;1.785;1.834;1.771;2.147;2.140;2.425;2.555;2.568;2.616;3.038;3.058;3.207;3.031;3.209;3.329;3.370;3.346;4.068;4.258;4.198;4.365;4.620;4.691;4.892;4.852;4.846;5.125;5.287
Roque Gonzales;4316303;-28,1297;-55,0266;1.429;797;931;1.020;1.119;1.128;1.273;1.390;1.473;1.633;1.672;1.632;1.627;1.716;1.824;1.918;2.016;2.037;2.233;2.307;2.359;2.427;2.385;2.577;2.593;2.356;2.574;2.704
Rosário do Sul;4316402;-30,2515;-54,9221;5.010;4.467;4.071;4.416;5.925;4.919;5.517;3.798;6.212;5.837;5.839;5.139;5.667;6.161;6.710;7.628;7.708;8.993;9.094;8.459;10.615;10.892;10.187;10.378;9.675;10.318;10.178;12.873
Sagrada Família;4316428;-27,7085;-53,1351;-;-;249;398;395;436;446;527;561;689;635;662;631;689;733;787;852;893;1.020;1.009;1.006;1.039;1.082;1.147;1.038;995;1.056;1.077
Saldanha Marinho;4316436;-28,3941;-53,097;76;12;6;...;1;13;21;30;31;17;17;16;13;14;15;16;18;23;19;16;10;10;11;13;17;20;17;18
Salto do Jacuí;4316451;-29,0951;-53,2133;84;92;103;89;113;122;128;133;1.845;2.418;2.187;2.151;2.138;2.736;3.359;4.434;7.242;12.067;11.499;2.720;426;469;484;725;655;637;612;564
Salvador das Missões;4316477;-28,1233;-54,8373;-;-;186;213;226;250;309;375;384;401;480;594;575;642;672;735;771;757;776;876;932;1.018;1.032;1.188;1.144;1.291;1.409;1.500
Salvador do Sul;4316501;-29,4386;-51,5077;618;614;655;667;732;729;758;854;990;990;1.114;1.323;442;456;493;486;539;567;566;574;580;590;600;643;607;668;779;818
Sananduva;4316600;-27,947;-51,8079;3.589;3.734;4.008;4.243;4.552;4.803;5.071;5.337;5.383;5.806;5.941;5.141;4.961;4.837;4.457;6.226;6.571;5.549;6.303;4.651;3.058;3.176;3.239;3.419;3.390;3.358;3.445;3.611
Santa Bárbara do Sul;4316709;-28,3653;-53,251;1.237;1.206;1.078;1.080;1.355;1.810;1.977;2.894;3.420;3.685;3.532;3.486;4.505;5.302;5.849;4.340;4.424;6.049;5.867;1.464;352;358;400;884;806;1.098;1.217;1.095
Santa Clara do Sul;4316758;-29,4747;-52,0843;-;-;-;-;-;91;96;103;126;137;153;155;147;120;144;157;165;156;157;158;167;181;185;209;196;151;222;214
Santa Cruz do Sul;4316808;-29,722;-52,4343;11.318;12.012;6.512;6.002;6.317;7.081;8.118;7.869;8.908;8.447;9.749;11.193;11.266;9.369;10.934;11.762;12.546;13.186;13.826;14.530;15.132;15.184;15.492;16.676;15.050;15.307;15.885;16.143
Santa Margarida do Sul;4316972;-30,3296;-54,0823;-;-;-;-;-;-;-;-;-;-;-;180;1.175;958;1.071;1.187;1.046;1.336;1.361;1.520;1.502;1.464;1.481;1.708;1.450;1.566;1.434;1.909
