variavel: Industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Industrial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;;;;;;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades;MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Cruzeiro do Sul;1859;2014;2210;2397;2389;2723;3032;3738;4421;5717;6214;8032;8216;10868;11606;12833;11451;11017;10561;11508;11103;13199;13984;15891;14993;15985;15705;17907
David Canabarro;79;93;90;101;119;133;140;173;195;193;187;147;143;145;90;125;167;160;154;156;159;136;168;158;139;139;129;125
Derrubadas;;;25;28;49;66;60;67;72;83;95;100;99;106;95;118;125;67;53;54;54;47;60;69;162;271;256;232
Dezesseis de Novembro;49;23;36;52;52;49;52;61;48;37;46;47;52;51;47;41;50;54;48;45;38;7;2;2;;0;0;0
Dilermando de Aguiar;;;;;;;48;41;183;96;182;95;44;39;45;85;808;1051;558;1067;547;408;283;326;308;635;635;523
Dois Irmãos;10452;11918;12290;12043;13078;15584;17074;16168;16227;20467;21633;22906;24110;25823;26584;25203;25034;23881;22493;23750;25039;25445;26378;27270;25437;24806;23827;24120
Dois Irmãos das Missões;;;77;45;51;49;57;55;27;16;382;3;3;3;2;1;1;1;16;27;26;9;8;9;13;17;15;11
Dois Lajeados;214;103;149;170;88;74;95;101;110;199;339;464;526;402;244;246;479;1408;273;247;238;278;293;342;297;300;265;287
Dom Feliciano;20;22;23;17;18;24;20;19;22;23;27;41;66;71;81;85;81;88;103;103;153;138;119;131;142;126;126;122
Dom Pedrito;7457;8347;8062;7605;9938;10972;11360;13647;16884;14621;17004;17266;15136;17774;18369;18362;15999;19806;20252;17346;21524;18203;16416;15791;17881;14779;16220;12304
